City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,15.01,91,100,3.6,US,1712770682
1,blackmans bay,-43.0167,147.3167,10.29,87,78,3.88,AU,1712770971
2,puerto natales,-51.7236,-72.4875,10.25,53,0,7.72,CL,1712770944
3,port douglas,-16.4833,145.4667,24.86,85,100,3.24,AU,1712770971
4,utrik,11.2278,169.8474,26.68,80,99,10.4,MH,1712770866
5,stanley,54.868,-1.6985,12.01,90,40,6.69,GB,1712770972
6,georgetown,5.4112,100.3354,28.3,86,20,1.54,MY,1712770946
7,ushuaia,-54.8,-68.3,8.79,66,40,13.38,AR,1712770972
8,heroica caborca,30.7167,-112.15,25.62,14,0,0.72,MX,1712770680
9,yellowknife,62.456,-114.3525,0.79,88,100,3.6,CA,1712770820
10,port-aux-francais,-49.35,70.2167,7.75,99,100,5.55,TF,1712770836
11,iqaluit,63.7506,-68.5145,-1.15,63,75,1.54,CA,1712770818
12,medina,24.4686,39.6142,29.24,8,0,6.17,SA,1712770973
13,menongue,-14.6585,17.691,19.37,92,97,2.43,AO,1712770973
14,acarau,-2.8856,-40.12,29.14,75,100,2.9,BR,1712770826
15,kashmar,35.2383,58.4656,19.34,29,22,5.11,IR,1712770974
16,hawaiian paradise park,19.5933,-154.9731,20.02,98,100,0.0,US,1712770853
17,puerto ayora,-0.7393,-90.3518,28.98,90,18,3.13,EC,1712770974
18,grytviken,-54.2811,-36.5092,2.53,86,58,5.57,GS,1712770974
19,camapua,-19.5314,-54.0439,29.01,69,69,0.85,BR,1712770699
20,college,64.8569,-147.8028,1.2,74,20,0.0,US,1712770740
21,hami,42.8,93.45,14.92,40,67,3.77,CN,1712770975
22,ancud,-41.8697,-73.8203,14.23,52,0,2.89,CL,1712770975
23,shimokizukuri,40.8061,140.3861,1.61,82,41,0.76,JP,1712770975
24,adamstown,-25.066,-130.1015,23.22,84,100,3.8,PN,1712770845
25,lihue,21.9789,-159.3672,22.77,77,0,4.12,US,1712770737
26,farafangana,-22.8167,47.8333,25.95,91,99,6.05,MG,1712770975
27,porkhov,57.765,29.5561,14.83,77,100,4.74,RU,1712770975
28,olonkinbyen,70.9221,-8.7187,-6.12,77,100,5.37,SJ,1712770847
29,el amria,35.5244,-1.0158,21.02,38,12,4.39,DZ,1712770976
30,bethel,41.3712,-73.414,19.19,54,40,5.14,US,1712770844
31,waitangi,-43.9535,-176.5597,15.46,94,67,4.47,NZ,1712770976
32,edinburgh of the seven seas,-37.0676,-12.3116,18.2,82,44,4.24,SH,1712770976
33,klyuchi,52.2667,79.1667,3.51,85,93,1.42,RU,1712770976
34,nishinoomote,30.7333,131.0,18.81,85,75,9.44,JP,1712770976
35,kapa'a,22.0752,-159.319,23.18,83,0,4.12,US,1712770977
36,olinda,-8.0089,-34.8553,29.85,79,75,4.63,BR,1712770755
37,west island,-12.1568,96.8225,26.99,69,86,4.12,CC,1712770977
38,isafjordur,66.0755,-23.124,3.02,70,20,2.06,IS,1712770977
39,zaozersk,69.4005,32.4476,3.04,100,100,9.13,RU,1712770977
40,miles city,46.4083,-105.8406,6.54,61,100,11.83,US,1712770977
41,albany,42.6001,-73.9662,13.63,77,100,0.89,US,1712770950
42,okhotsk,59.3833,143.3,-7.69,76,2,4.99,RU,1712770978
43,holualoa,19.6228,-155.9522,20.91,85,20,2.06,US,1712770905
